Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
659parkerrob-christmas-ornaments-puerto-rico-beach-ornaments-ceramic-christmas-decorations-indoor-tree-couples-kids-circle,"659ParkerRob Christmas Ornaments,Puerto Rico Beach Ornaments Ceramic,Christmas Decorations Indoor Tree, Couples Kids Circle","<!-- show up to 2 reviews by default --> 
<p>funny christmas ornaments </p>",customadd,"","",true,Title,Default Title,,,,,"",0,shopify,0,continue,manual,13.00,0.00,true,false,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/41rt0F1kiZL._AC.jpg?v=1574683842,1,,false,,,,,,,,,,,,,,,,,kg,,
659parkerrob-christmas-ornaments-fbi-emblem-christmas-ornaments-tree-decoration-keepsake-birthday-annivesary-xmas-gifts-home-decor,"659ParkerRob Christmas Ornaments, FBI Emblem Christmas Ornaments Tree Decoration,Keepsake,Birthday,Annivesary,Xmas Gifts,Home Decor","<!-- show up to 2 reviews by default --> 
<p>funny christmas ornaments </p>",customadd,"","",true,Title,Default Title,,,,,"",0,shopify,0,continue,manual,15.00,0.00,true,false,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/41Dr-IZkOUL._AC.jpg?v=1574683923,1,,false,,,,,,,,,,,,,,,,,kg,,
100x50-mm-food-allergy-warning-sticker-peanut-shellfish-cafe-takeaway-restaurant-warning-stickers-lables-self-adhesive-vinyl,"100X50 Mm Food Allergy Warning Sticker Peanut Shellfish Cafe Takeaway Restaurant Warning Stickers Lables,Self Adhesive Vinyl,","",customadd,"","",true,Title,Default Title,,,,,"",0,shopify,0,continue,manual,11.00,0.00,true,false,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/51luuIaE5GL._AC.jpg?v=1574683952,1,,false,,,,,,,,,,,,,,,,,kg,,
659parkerrob-fire-wife-vinyl-decal-auto-decal-firefighter-fire-car-decal-truck-decal-window-sticker-girlfriend-wifey-mom-fire-dept-fireman,659ParkerRob Fire Wife Vinyl Decal Auto Decal Firefighter Fire Car Decal Truck Decal Window Sticker Girlfriend Wifey Mom Fire Dept Fireman,"<!-- show up to 2 reviews by default --> 
<p>car bumper stickers </p>",customadd,"","",true,Title,Default Title,,,,,"",0,shopify,0,continue,manual,14.50,0.00,true,false,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/41BU-9QWrhL._AC.jpg?v=1574684015,1,,false,,,,,,,,,,,,,,,,,kg,,
659parkerrob-christmas-ornaments-kappa-alpha-theta-star-ceramic-christmas-ornaments-for-christmas-tree-decoration-keepsake-new-couples,"659ParkerRob Christmas Ornaments, Kappa Alpha Theta Star Ceramic Christmas Ornaments for Christmas Tree Decoration,, Keepsake,New Couples","<!-- show up to 2 reviews by default --> 
<p>funny christmas ornaments </p>",customadd,"","",true,Title,Default Title,,,,,"",0,shopify,0,continue,manual,12.00,0.00,true,false,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/31QxKDMDFUL._AC.jpg?v=1574684049,1,,false,,,,,,,,,,,,,,,,,kg,,
200mmx66mm-boiler-room-sign-stickers-warning-stickers-lables-self-adhesive-vinyl-safety-notice-caution-sign-decals,"200Mmx66Mm Boiler Room Sign Stickers,Warning Stickers Lables,Self Adhesive Vinyl,Safety Notice Caution Sign Decals","",customadd,"","",true,Title,Default Title,,,,,"",0,shopify,0,continue,manual,12.00,0.00,true,false,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/31vN0alV9uL._AC.jpg?v=1574684072,1,,false,,,,,,,,,,,,,,,,,kg,,
659parkerrob-christmas-ornaments-glacier-national-park-star-ceramic-christmas-ornaments-christmas-tree-decoration-keepsake-couples,"659ParkerRob Christmas Ornaments, Glacier National Park Star Ceramic Christmas Ornaments Christmas Tree Decoration, Keepsake, Couples","<!-- show up to 2 reviews by default --> 
<p>funny christmas ornaments </p>",customadd,"","",true,Title,Default Title,,,,,"",0,shopify,0,continue,manual,12.00,0.00,true,false,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/41tzgrCOs3L._AC.jpg?v=1574684214,1,,false,,,,,,,,,,,,,,,,,kg,,
659parkerrob-christmas-ornaments-port-aransas-beach-in-texas-christmas-ornaments-tree-decoration-keepsake-birthday-annivesary-xmas-gifts-home-decor,"659ParkerRob Christmas Ornaments, Port Aransas Beach in Texas Christmas Ornaments Tree Decoration,Keepsake,Birthday,Annivesary,Xmas Gifts,Home Decor","<!-- show up to 2 reviews by default --> 
<p>funny christmas ornaments </p>",customadd,"","",true,Title,Default Title,,,,,"",0,shopify,0,continue,manual,14.50,0.00,true,false,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/419aPG7507L._AC.jpg?v=1574684373,1,,false,,,,,,,,,,,,,,,,,kg,,
659parkerrob-christmas-ornaments-destin-florida-beach-photograph-ornaments-ceramic-christmas-decorations-indoor-for-tree-for-new-couples-for-kids-heart,"659ParkerRob Christmas Ornaments,Destin Florida Beach Photograph Ornaments Ceramic,Christmas Decorations Indoor for Tree, for New Couples,for Kids Heart","<!-- show up to 2 reviews by default --> 
<p>funny christmas ornaments </p>",customadd,"","",true,Title,Default Title,,,,,"",0,shopify,0,continue,manual,15.00,0.00,true,false,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/41O7kZUCsKL._AC.jpg?v=1574684377,1,,false,,,,,,,,,,,,,,,,,kg,,
659parkerrob-llama-wall-decals-you-are-llamazing-quote-decal-alpaca-stickers-llama-wall-art-alpaca-wall-decor-home-decor-vinyl-lettering,659ParkerRob Llama Wall Decals You are Llamazing Quote Decal Alpaca Stickers Llama Wall Art Alpaca Wall Decor Home Decor Vinyl Lettering,"<!-- show up to 2 reviews by default --> 
<p>wall decals </p>",customadd,"","",true,Title,Default Title,,,,,"",0,shopify,0,continue,manual,21.00,0.00,true,false,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/71ME5GXRYaL._AC_SL1082.jpg?v=1574684449,1,,false,,,,,,,,,,,,,,,,,kg,,
